clube,total_de_jogadores,copas_do_mundo
Botafogo,47,"1930, 1934, 1938, 1950, 1954, 1958, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1998, 2014"
São Paulo,46,"1934, 1950, 1954, 1958, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006"
Vasco da Gama,41,"1930, 1934, 1938, 1950, 1954, 1958, 1966, 1978, 1982, 1990, 1994, 1998"
Flamengo,35,"1930, 1934, 1938, 1950, 1954, 1958, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2010, 2022"
Fluminense,31,"1930, 1938, 1950, 1954, 1958, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 2014"
Palmeiras,25,"1938, 1950, 1954, 1958, 1962, 1970, 1974, 1978, 1986, 1994, 2002, 2022"
Santos,24,"1930, 1958, 1962, 1966, 1970, 1974, 2010"
Corinthians,24,"1938, 1950, 1954, 1958, 1966, 1970, 1974, 1978, 1982, 1986, 1994, 1998, 2002, 2006, 2018"
Real Madrid,13,"1998, 2002, 2006, 2010, 2014, 2018, 2022"
Atlético Mineiro,12,"1970, 1978, 1982, 1986, 1998, 2002, 2014,"
Cruzeiro,11,"1966, 1970, 1974, 1978, 1994, 1998, 2002, 2010"
Barcelona,11,"1994, 1998, 2002, 2006, 2010, 2014, 2018, 2022"
Roma,10,"1982, 1994, 1998, 2002, 2010, 2014, 2018"
Paris Saint-Germain,9,"1994, 2002, 2014, 2018, 2022"
Internacional,8,"1950, 1974, 1978, 1986, 1982, 1990"
Grêmio,8,"1966, 1970, 1982, 1986, 2002, 2018"
Internazionale,8,"1998, 2002, 2006, 2010, 2014, 2018"
Milan,7,"1998, 2002, 2006, 2010"
Benfica,6,"1990, 2006, 2010"
Portuguesa,6,"1954, 1958, 1962, 1970"
Manchester City,6,"2014, 2018, 2022"
Juventus,6,"2006, 2010, 2018, 2022"
Chelsea,6,"2014, 2018, 2022"
Bayer Leverkusen,5,"1990, 1994, 1998, 2002, 2006"
Olympique de Lyon,5,"2002, 2006, 2010"
Ponte Preta,5,"1978, 1982"
São Cristóvão,5,"1930, 1938"
Bangu,4,"1950, 1958, 1962, 1966"
Bayern de Munique,4,"1994, 2006, 2014"
America,3,"1930, 1938"
Tottenham Hotspur,3,"2010, 2014, 2022"
Liverpool,3,"2018, 2022"
Arsenal,3,"2006, 2022"
Wolfsburg,3,"2010, 2014"
Napoli,3,"1990, 2014"
Atlético de Madrid,3,"1982, 2018"
Manchester United,3,2022
Shakhtar Donetsk,3,"2014, 2018"
Deportivo La Coruña,2,1994
Fiorentina,2,"1990, 1998"
Americano,2,"1930, 1934"
Porto,2,"1990, 1998"
Torino,2,"1986, 1990"
Sevilla,2,"2010, 2022"
Athletico Paranaense,1,2002
Bordeaux,1,1994
Galatasaray,1,2010
Guarani,1,1986
Hertha Berlim,1,2006
Júbilo Iwata,1,1998
Olympique de Marseille,1,1990
Panathinaikos,1,2010
Parma,1,2002
Portuguesa Santista,1,1938
PSV,1,1990
Real Betis,1,"1998, 2002"
Reggiana,1,1994
Shimizu S-Pulse,1,1994
Stuttgart,1,1994
Toronto FC,1,2014
Udinese,1,1986
Villarreal,1,2010
Yokohama F. Marinos,1,1998
Ypiranga de Niterói,1,1930
Zenit,1,2014
Nacional,1,1934
Beijing Guoan,1,2018
Newcastle,1,2022
West Ham,1,2022
Pumas,1,2022
